scheme,stratum,n_cities,mean_city_r2,city_bootstrap_low_r2,city_bootstrap_high_r2,mean_city_rmse_k,city_bootstrap_low_rmse_k,city_bootstrap_high_rmse_k,mean_city_mae_k,city_bootstrap_low_mae_k,city_bootstrap_high_mae_k
full23,All,41,0.6777974929755124,0.6206815747218609,0.7247243926124991,1.8242690891649782,1.7051160949691804,1.9589060925525223,1.4309309400782588,1.3205447802746795,1.555469254256162
full23,Flat,8,0.7214756375290929,0.6864033953454101,0.7552361264117519,1.7617091277869363,1.590627194987632,1.9455715613246543,1.344161969722181,1.1943969781800077,1.5122702938517105
full23,Transitional,12,0.7075750015844223,0.6255669400409631,0.7784070783553648,1.7424289288299615,1.5281368914527955,1.9872635688574825,1.343962954042239,1.1569312863539112,1.5682388114493921
full23,Hilly,14,0.6218475858804137,0.48358268724022885,0.7247319537999113,1.913607709119002,1.662684966827707,2.212193826846545,1.5401963902399967,1.3048391347936052,1.815271951875832
full23,Mountainous,7,0.6887322700606288,0.5921726558057337,0.7775009351278641,1.8573863656918645,1.7043277638384258,1.9882489185999934,1.460652553366334,1.3243629800298673,1.5789671569541934
no_far22,All,41,0.676164287441613,0.6206889819323292,0.7219647737974069,1.8320782046951196,1.7128279154462687,1.9641086861871946,1.4379236126756025,1.3287042900295365,1.559636867657296
no_far22,Flat,8,0.7170803975147627,0.6816218233773783,0.7524511391764778,1.7771184571967704,1.5965474652752751,1.9755908654174739,1.3602271230583025,1.201878502068662,1.5426101995742234
no_far22,Transitional,12,0.7087918457924229,0.6308397962729877,0.7770270325244013,1.7408533033608382,1.5317906881052172,1.9761672547095523,1.3432598799171778,1.1621689563886968,1.5570770056796646
no_far22,Hilly,14,0.6226180572520368,0.4875915801353353,0.7229724008626033,1.9150970800238099,1.6653813498740426,2.2083183361368133,1.5406519627401276,1.3070701465717816,1.8118872636421923
no_far22,Mountainous,7,0.68056252199292,0.5850855638847513,0.7683861800830609,1.8852371391803333,1.7398150720530252,2.0286894612764894,1.483543585409338,1.3520840720896203,1.6201229403831672
formula21,All,41,0.6813308017338745,0.6232520632005335,0.7279263364537178,1.8145174908811819,1.6957433990613828,1.9489989980792477,1.4215025237059224,1.3125687555117846,1.54577173989205
formula21,Flat,8,0.7203133336433056,0.6834040111540242,0.7545173812509094,1.7646110989756219,1.593721243072397,1.9458912924203278,1.346608284022356,1.1993110832453018,1.512196598273305
formula21,Transitional,12,0.7083066132516421,0.6268402505966623,0.7782750405269457,1.7403491467955867,1.5289404414260084,1.9832575230724179,1.3430326738897544,1.1589252358615547,1.5639594263461822
formula21,Hilly,14,0.6244069936342267,0.4833478395672963,0.7280850805858678,1.9052231312563228,1.6508165504625747,2.2076593221035155,1.5318134204807234,1.2939853901836202,1.8123932223785146
formula21,Mountainous,7,0.7043827045776467,0.6172564972946459,0.7832521514727183,1.8172878193125601,1.691720542144779,1.9270414415071264,1.4209938894795417,1.3105686982304035,1.51693403598803
representative18,All,41,0.6780328587552932,0.6215815391660529,0.7243391372520053,1.8257070952826007,1.7068233792618812,1.9604369583225592,1.4291849960076315,1.319494000693548,1.554411769454094
representative18,Flat,8,0.7207743461132426,0.6847734067524831,0.754913598867851,1.762563320322428,1.5936360227133404,1.9445658744906125,1.343736248465952,1.1978664031008193,1.5099751055408759
representative18,Transitional,12,0.702935713102187,0.615675257221611,0.7760668229743096,1.7551158968228655,1.5361823957831289,2.0116437486282828,1.3536747781387393,1.1594459564678892,1.589671677563972
representative18,Hilly,14,0.628189438550433,0.4927930343833929,0.7280763963528426,1.8995216979854315,1.6516655622528909,2.1925904524456197,1.524627935034178,1.2935778321198146,1.795852116029804
representative18,Mountainous,7,0.6861816775898248,0.5921595468214843,0.7714122724790728,1.8712556871909676,1.735096227479282,1.9969859979646445,1.4654009172059879,1.3437554799323392,1.5851894505123905
alternate18,All,41,0.6726581722308594,0.61504548954155,0.7195170084950705,1.8408046872388322,1.7211254520594828,1.9743917814720082,1.4387418371717662,1.3285775864578615,1.5625448162776818
alternate18,Flat,8,0.7105128329534176,0.671024817108608,0.74769197891623,1.7927618940681493,1.6232138517504024,1.9710879612701482,1.3642892361824477,1.2184387445300608,1.5277302451348294
alternate18,Transitional,12,0.701756020767427,0.6234911345914192,0.7697386927875448,1.7640895029238102,1.5551664569141053,1.9953839640451334,1.357052668105167,1.174769976424423,1.5661596213268694
alternate18,Hilly,14,0.6128457117132441,0.4721042541751903,0.7187507070785482,1.9366565659277595,1.6751196956903658,2.242549786546111,1.5571001268584121,1.3128805556574683,1.8398847113608008
alternate18,Mountainous,7,0.6991385978061933,0.6090714336116637,0.7783549860988979,1.8355187237389388,1.7188512048934175,1.9474694963292092,1.4271525201861512,1.3282255627639468,1.5185237646125724
