scheme,feature,included,category
full23,Tair_mean,True,Climate
full23,Tair_max,True,Climate
full23,Precip_annual,True,Climate
full23,VPD_summer,True,Climate
full23,Solar_RAD,True,Climate
full23,NDVI_mean,True,Surface
full23,EVI_mean,True,Surface
full23,FVC,True,Surface
full23,LAI,True,Surface
full23,PLAND_imperv,True,Urban2D
full23,PLAND_water,True,Urban2D
full23,PLAND_veg,True,Urban2D
full23,ED_total,True,Urban2D
full23,AI_imperv,True,Urban2D
full23,Mean_Bld_Height,True,Urban3D
full23,Bld_Volume_density,True,Urban3D
full23,FAR,True,Urban3D
full23,Sky_View_Factor,True,Urban3D
full23,DEM,True,Topography
full23,Slope,True,Topography
full23,Aspect,True,Topography
full23,TRI,True,Topography
full23,Relative_elevation,True,Topography
no_far22,Tair_mean,True,Climate
no_far22,Tair_max,True,Climate
no_far22,Precip_annual,True,Climate
no_far22,VPD_summer,True,Climate
no_far22,Solar_RAD,True,Climate
no_far22,NDVI_mean,True,Surface
no_far22,EVI_mean,True,Surface
no_far22,FVC,True,Surface
no_far22,LAI,True,Surface
no_far22,PLAND_imperv,True,Urban2D
no_far22,PLAND_water,True,Urban2D
no_far22,PLAND_veg,True,Urban2D
no_far22,ED_total,True,Urban2D
no_far22,AI_imperv,True,Urban2D
no_far22,Mean_Bld_Height,True,Urban3D
no_far22,Bld_Volume_density,True,Urban3D
no_far22,FAR,False,Urban3D
no_far22,Sky_View_Factor,True,Urban3D
no_far22,DEM,True,Topography
no_far22,Slope,True,Topography
no_far22,Aspect,True,Topography
no_far22,TRI,True,Topography
no_far22,Relative_elevation,True,Topography
formula21,Tair_mean,True,Climate
formula21,Tair_max,True,Climate
formula21,Precip_annual,True,Climate
formula21,VPD_summer,True,Climate
formula21,Solar_RAD,True,Climate
formula21,NDVI_mean,True,Surface
formula21,EVI_mean,True,Surface
formula21,FVC,False,Surface
formula21,LAI,True,Surface
formula21,PLAND_imperv,True,Urban2D
formula21,PLAND_water,True,Urban2D
formula21,PLAND_veg,True,Urban2D
formula21,ED_total,True,Urban2D
formula21,AI_imperv,True,Urban2D
formula21,Mean_Bld_Height,True,Urban3D
formula21,Bld_Volume_density,True,Urban3D
formula21,FAR,False,Urban3D
formula21,Sky_View_Factor,True,Urban3D
formula21,DEM,True,Topography
formula21,Slope,True,Topography
formula21,Aspect,True,Topography
formula21,TRI,True,Topography
formula21,Relative_elevation,True,Topography
representative18,Tair_mean,True,Climate
representative18,Tair_max,True,Climate
representative18,Precip_annual,True,Climate
representative18,VPD_summer,True,Climate
representative18,Solar_RAD,True,Climate
representative18,NDVI_mean,True,Surface
representative18,EVI_mean,False,Surface
representative18,FVC,False,Surface
representative18,LAI,True,Surface
representative18,PLAND_imperv,True,Urban2D
representative18,PLAND_water,True,Urban2D
representative18,PLAND_veg,True,Urban2D
representative18,ED_total,True,Urban2D
representative18,AI_imperv,True,Urban2D
representative18,Mean_Bld_Height,True,Urban3D
representative18,Bld_Volume_density,True,Urban3D
representative18,FAR,False,Urban3D
representative18,Sky_View_Factor,False,Urban3D
representative18,DEM,True,Topography
representative18,Slope,True,Topography
representative18,Aspect,True,Topography
representative18,TRI,False,Topography
representative18,Relative_elevation,True,Topography
alternate18,Tair_mean,True,Climate
alternate18,Tair_max,True,Climate
alternate18,Precip_annual,True,Climate
alternate18,VPD_summer,True,Climate
alternate18,Solar_RAD,True,Climate
alternate18,NDVI_mean,False,Surface
alternate18,EVI_mean,True,Surface
alternate18,FVC,False,Surface
alternate18,LAI,True,Surface
alternate18,PLAND_imperv,True,Urban2D
alternate18,PLAND_water,True,Urban2D
alternate18,PLAND_veg,True,Urban2D
alternate18,ED_total,True,Urban2D
alternate18,AI_imperv,True,Urban2D
alternate18,Mean_Bld_Height,True,Urban3D
alternate18,Bld_Volume_density,False,Urban3D
alternate18,FAR,True,Urban3D
alternate18,Sky_View_Factor,False,Urban3D
alternate18,DEM,True,Topography
alternate18,Slope,False,Topography
alternate18,Aspect,True,Topography
alternate18,TRI,True,Topography
alternate18,Relative_elevation,True,Topography
