city,year,stratum,cells,valid_pct,mean_c
Changde,2020,Transitional,27925,97.76634107061584,36.034795054400035
Changde,2021,Transitional,27858,97.53177187270245,38.63676241604895
Changde,2022,Transitional,27987,97.98340510450583,36.29130457929898
Changde,2023,Transitional,26859,94.03424010082975,37.8209434331107
Changde,2024,Transitional,27786,97.27969751076567,37.711008808709835
Changde,2025,Transitional,28070,98.27399082729406,38.94425273114041
Changsha,2020,Transitional,58047,99.4125706456585,43.75034652177885
Changsha,2021,Transitional,57972,99.28412399383456,42.28103700024633
Changsha,2022,Transitional,58279,99.80989895530057,44.12860170397897
Changsha,2023,Transitional,57986,99.30810070217503,40.49070901138634
Changsha,2024,Transitional,58283,99.81674944339784,41.57200783288704
Changsha,2025,Transitional,58280,99.81161157732488,40.558779226625745
Chenzhou,2020,Hilly,18301,66.03521685790575,34.512659765836815
Chenzhou,2021,Hilly,22843,82.4240456087176,35.47709466051964
Chenzhou,2022,Hilly,25719,92.80147218012557,38.86539708151986
Chenzhou,2023,Hilly,24002,86.60604748502561,33.51203320382058
Chenzhou,2024,Hilly,25603,92.38291116403262,35.32345769196621
Chenzhou,2025,Hilly,25860,93.31024031175579,36.04007648957429
Enshi,2020,Mountainous,19467,83.6067685964611,32.03878589281095
Enshi,2021,Mountainous,19401,83.32331214567944,32.08600959058606
Enshi,2022,Mountainous,19308,82.92389623775983,36.39476540146836
Enshi,2023,Mountainous,19927,85.58237416251502,31.53343928094847
Enshi,2024,Mountainous,20018,85.973200481017,33.2620776700295
Enshi,2025,Mountainous,19951,85.68544923552655,34.56514091742673
Ezhou,2020,Transitional,32364,98.8757179518514,35.90854133306448
Ezhou,2021,Transitional,32685,99.85640962972016,40.01825458268934
Ezhou,2022,Transitional,32687,99.86251985824269,41.186746924327736
Ezhou,2023,Transitional,32687,99.86251985824269,41.19785582917433
Ezhou,2024,Transitional,32687,99.86251985824269,41.00297138581334
Ezhou,2025,Transitional,32685,99.85640962972016,40.60894501353465
Fuzhou,2020,Hilly,29016,98.88896462408835,33.436633003253746
Fuzhou,2021,Hilly,28848,98.31640651625656,37.91195798129161
Fuzhou,2022,Hilly,29298,99.85004430509167,42.342735343702714
Fuzhou,2023,Hilly,29291,99.82618771726536,41.80510318028439
Fuzhou,2024,Hilly,29297,99.8466362211165,40.974072353250165
Fuzhou,2025,Hilly,29297,99.8466362211165,40.347823001853044
Ganzhou,2020,Hilly,43109,95.73608119212064,33.65198571368444
Ganzhou,2021,Hilly,43523,96.65548868506963,38.060668050601976
Ganzhou,2022,Hilly,44972,99.87341491039108,41.20619560440116
Ganzhou,2023,Hilly,44901,99.71573874614138,38.464581702469445
Ganzhou,2024,Hilly,44972,99.87341491039108,38.8103591408688
Ganzhou,2025,Hilly,44970,99.86897332829953,38.440783023320876
Hengyang,2020,Transitional,30585,98.71223857474826,42.72099595171949
Hengyang,2021,Transitional,30370,98.01833204234444,39.439558942830104
Hengyang,2022,Transitional,30911,99.76439452620708,42.693225367347225
Hengyang,2023,Transitional,30821,99.47392202427059,40.09634938971874
Hengyang,2024,Transitional,30911,99.76439452620708,39.144794098912314
Hengyang,2025,Transitional,30911,99.76439452620708,40.593001908058
Huaihua,2020,Mountainous,20725,95.19107110049605,35.64424238630551
Huaihua,2021,Mountainous,19346,88.85724784126401,33.22485281089632
Huaihua,2022,Mountainous,21739,99.84842917508728,34.086072241781096
Huaihua,2023,Mountainous,21458,98.55778063567885,35.98806694094884
Huaihua,2024,Mountainous,20074,92.20099209994488,36.69474015674854
Huaihua,2025,Mountainous,21280,97.74021679221018,36.72444135524813
Huanggang,2020,Hilly,32364,98.8757179518514,35.90854133306448
Huanggang,2021,Hilly,32685,99.85640962972016,40.01825458268934
Huanggang,2022,Hilly,32687,99.86251985824269,41.186746924327736
Huanggang,2023,Hilly,32687,99.86251985824269,41.19785582917433
Huanggang,2024,Hilly,32687,99.86251985824269,41.00297138581334
Huanggang,2025,Hilly,32685,99.85640962972016,40.60894501353465
Huangshi,2020,Mountainous,40694,97.65778737700984,34.332863481940365
Huangshi,2021,Mountainous,41605,99.84401247900168,39.814251558948
Huangshi,2022,Mountainous,41613,99.86321094312454,42.21974867715022
