,Tair_mean,Tair_max,Precip_annual,VPD_summer,Solar_RAD,NDVI_mean,EVI_mean,FVC,LAI,PLAND_imperv,PLAND_water,PLAND_veg,ED_total,AI_imperv,Mean_Bld_Height,Bld_Volume_density,FAR,Sky_View_Factor,DEM,Slope,Aspect,TRI,Relative_elevation
Tair_mean,1.0,0.8528544891402378,0.016849624016809492,0.8112437406200461,0.8577985805095977,-0.2298131137232101,-0.2926008122262101,-0.2760910040364967,-0.31611049967180577,0.13000934653791324,0.14125978917728388,-0.21401624210186962,0.1186972479114763,0.18898283764485185,0.10718950706628638,0.058175166562936316,0.058175166562936795,-0.07301717625449215,-0.7830293334730581,-0.562316280905784,-0.04715873092685071,-0.5628951358585481,0.035168208309403155
Tair_max,0.8528544891402378,1.0,-0.25787987935449774,0.7952000642646364,0.7495978863551457,-0.21072679256691373,-0.26367483297168903,-0.2534781287992656,-0.28613671485575787,0.11815584396078978,0.10954425701221876,-0.17540156152942296,0.10197712108895605,0.17107976332416347,0.1077472893820974,0.06476223329925078,0.06476223329925226,-0.07791535056166299,-0.7283915019871537,-0.49118753294112016,-0.03570577788693331,-0.4976392402918757,0.03107147433435652
Precip_annual,0.016849624016809492,-0.25787987935449774,1.0,0.07361202153859044,-0.10995010223480463,0.11069131172024249,0.05650428673442881,0.12839597824022747,0.22214164137150222,-0.053803913849515904,-0.09328130787631539,0.0846738843371681,-0.04010298779494901,-0.07832829675894672,-0.044036025892263596,-0.02495328379322735,-0.02495328379322883,0.0297285015472635,0.20738758441968663,0.26650533775986346,0.01711691676923418,0.26957051674233135,-0.023092153440670966
VPD_summer,0.8112437406200461,0.7952000642646364,0.07361202153859044,1.0,0.7822834864425653,-0.12125641102372531,-0.2036604339534716,-0.15786177193233297,-0.18048213617461,0.08482598924983413,0.027124761885715894,-0.11062072077235507,0.08057695533110916,0.12287964969166007,0.08431320841057859,0.04413853848571435,0.04413853848571403,-0.052717873925010476,-0.481565685151862,-0.3214506598813086,-0.015233627987371576,-0.32995482327212405,0.021236144556286977
Solar_RAD,0.8577985805095977,0.7495978863551457,-0.10995010223480463,0.7822834864425653,1.0,-0.15172531987589286,-0.19878279649466393,-0.19571156430785042,-0.24137941171674007,0.1036182571783823,0.07620250092695302,-0.15349330197498812,0.09246649092275541,0.14966848713328273,0.07895526913121283,0.03426962056692181,0.03426962056692215,-0.04768561882993481,-0.6142627333094788,-0.47735921450457064,-0.03990298574941339,-0.4800610564529908,0.03089588468784622
NDVI_mean,-0.2298131137232101,-0.21072679256691373,0.11069131172024249,-0.12125641102372531,-0.15172531987589286,1.0,0.943126564665023,0.9275544112007971,0.5658327347215426,-0.45848168842485515,-0.6326625699734039,0.7982399762129947,-0.17168969848611607,-0.43656020551490526,-0.3810319669163664,-0.322771052726139,-0.3227710527261391,0.3622105415084368,0.32711802152013514,0.4515730708706635,0.07075202775049273,0.43698418092506686,0.14201218319442496
EVI_mean,-0.2926008122262101,-0.26367483297168903,0.05650428673442881,-0.2036604339534716,-0.19878279649466393,0.943126564665023,1.0,0.9078447259083976,0.5501228331106934,-0.4311565558605011,-0.6208811892452113,0.7742274886878056,-0.16131402240211545,-0.4152373672255594,-0.3695123071735827,-0.31110915939085676,-0.3111091593908626,0.34517293297048857,0.3641514013717919,0.44323152385316716,0.04404175867576767,0.43454955285807984,0.14993585932798897
FVC,-0.2760910040364967,-0.2534781287992656,0.12839597824022747,-0.15786177193233297,-0.19571156430785042,0.9275544112007971,0.9078447259083976,1.0,0.6454875531467135,-0.5847681684507952,-0.45904858384122355,0.8343669609490856,-0.2582219693430676,-0.5431233188140036,-0.4467133199055259,-0.34812315645498326,-0.34812315645498676,0.39610562152923573,0.39496270293027724,0.5430190866970127,0.05180383915029811,0.5273493841380487,0.18286907725011137
LAI,-0.31611049967180577,-0.28613671485575787,0.22214164137150222,-0.18048213617461,-0.24137941171674007,0.5658327347215426,0.5501228331106934,0.6454875531467135,1.0,-0.41288376231138585,-0.26385488829607423,0.5541395526599017,-0.31925118306176054,-0.5654080578309172,-0.36294574748521047,-0.2614221873158574,-0.2614221873158588,0.2953621409279162,0.4520378246825765,0.6377743062936109,0.0551871602925906,0.6260501228601248,0.1814466204172378
PLAND_imperv,0.13000934653791324,0.11815584396078978,-0.053803913849515904,0.08482598924983413,0.1036182571783823,-0.45848168842485515,-0.4311565558605011,-0.5847681684507952,-0.41288376231138585,1.0,-0.16039982260247324,-0.7812708701719105,0.34707020592389615,0.7399846249718465,0.6708702479382559,0.5150342066355862,0.5150342066355853,-0.5904712916969209,-0.2084355693383121,-0.31231148666645564,0.03207345642019953,-0.3066921092171061,-0.12737162874151212
PLAND_water,0.14125978917728388,0.10954425701221876,-0.09328130787631539,0.027124761885715894,0.07620250092695302,-0.6326625699734039,-0.6208811892452113,-0.45904858384122355,-0.26385488829607423,-0.16039982260247324,1.0,-0.4206447311375614,-0.050765137908442795,-0.09014200439224901,-0.0791714386064416,-0.05666142618774622,-0.05666142618774722,0.0662328995936201,-0.21077507545505045,-0.2739267003687474,-0.10367629268081777,-0.26134003331753125,-0.07457781588259933
PLAND_veg,-0.21401624210186962,-0.17540156152942296,0.0846738843371681,-0.11062072077235507,-0.15349330197498812,0.7982399762129947,0.7742274886878056,0.8343669609490856,0.5541395526599017,-0.7812708701719105,-0.4206447311375614,1.0,-0.3004497242511863,-0.6121811459395499,-0.5438948290413209,-0.41067064965696687,-0.4106706496569694,0.4698949846780294,0.31562033402557205,0.45470633187724746,0.030226113268684213,0.44268534148117494,0.17482214071923985
ED_total,0.1186972479114763,0.10197712108895605,-0.04010298779494901,0.08057695533110916,0.09246649092275541,-0.17168969848611607,-0.16131402240211545,-0.2582219693430676,-0.31925118306176054,0.34707020592389615,-0.050765137908442795,-0.3004497242511863,1.0,0.4313838879386422,0.21508196802090032,0.10194055124578855,0.10194055124578909,-0.13988966776065265,-0.1972597370007844,-0.2710326824651067,0.004879699866072666,-0.26943812413737,-0.14549406253756894
AI_imperv,0.18898283764485185,0.17107976332416347,-0.07832829675894672,0.12287964969166007,0.14966848713328273,-0.43656020551490526,-0.4152373672255594,-0.5431233188140036,-0.5654080578309172,0.7399846249718465,-0.09014200439224901,-0.6121811459395499,0.4313838879386422,1.0,0.7213277986953195,0.5724815598250802,0.5724815598250595,-0.6331657088777345,-0.29160841816894073,-0.39109490025586496,-0.0017595750514998148,-0.38471478481395693,-0.14996196689462735
