city,province,stratum,total_cells,quality_valid_cells,urban_cells,strict_rural_cells,broad_rural_cells,conservative_rural_cells,urban_mean_lst_k,urban_median_lst_k,urban_mean_dem_m,strict_rural_mean_dem_m,elevation_match_abs_dem_median_m,elevation_match_abs_dem_q95_m,elevation_match_rural_bands,rural_strict_mean_lst_k,city_suhi_strict_mean_k,rural_strict_median_lst_k,city_suhi_strict_median_k,rural_broad_mean_lst_k,city_suhi_broad_mean_k,rural_conservative_mean_lst_k,city_suhi_conservative_mean_k,rural_elevation_matched_lst_k,city_suhi_elevation_matched_k
Jingzhou,Hubei,Flat,31255,31201,2485,5622,9231,1174,314.7255071529666,315.726743075,35.05267782063171,35.495132405291336,7.980804165251321,11.976584970392835,2,308.8595021872895,5.866004965677121,308.5518918425,6.173615310466573,308.93350384901106,5.792003303955539,308.3665076863458,6.358999466620787,308.8672856575457,5.858221495420878
Jiujiang,Jiangxi,Flat,35675,35543,2562,6041,11212,3593,318.66457747008434,319.9415889875,38.32223228351128,164.9758263595328,6.5256229693747585,11.9840819745302,9,310.0400478419008,8.624529628183552,310.27984337,8.384734100084358,309.83770469224453,8.82687277783981,308.8650988105319,9.799478659552449,311.71174398236826,6.952833487716077
Nanchang,Jiangxi,Flat,54332,54252,9267,9547,16817,4437,318.78511392309713,319.28746541000004,26.02671200315475,91.34297938152604,5.083514319628314,10.92492849640723,4,310.8803089294279,7.904804993669245,310.83612612499996,7.948987798097164,310.72354262940974,8.061571293687393,309.83133973957473,8.953774183522398,311.665359080736,7.1197548423611465
Qianjiang,Hubei,Flat,20712,20677,534,3826,6513,867,317.27472368800557,317.78097309500004,35.05293536000347,31.075603072472212,9.270884332680534,12.162305708368761,2,310.0045386989574,7.270184989048175,309.76115883500006,7.513564853005505,310.26419101981713,7.010532668188432,310.14495073761765,7.129772950387917,310.132814187574,7.141909500431552
Tianmen,Hubei,Flat,24973,24927,901,5900,9833,1737,316.3132666449811,316.851442556,30.88353316869055,34.05373742672162,5.869961931987088,9.455649100725374,2,309.33851722466915,6.97474942031198,309.07954868,7.2337179649811105,309.2132817106107,7.099984934370411,309.3812296778808,6.932036967100316,309.4599352812629,6.853331363718212
Wuhan,Hubei,Flat,71837,71666,14453,5092,8709,1259,317.96220377334186,318.943669565,29.81535283098989,34.58195935235883,4.457119769194037,11.478848113911441,5,312.5045119079079,5.457691865433958,312.323762363,5.638441410341841,312.6439109734345,5.31829279990734,311.80383887493366,6.158364898408195,312.55043896667786,5.411764806663996
Xiantao,Hubei,Flat,25209,25175,1334,4039,6696,667,317.1161082060233,317.77114628749996,30.93088486256948,26.769382635832915,5.513979027394708,12.343555077366464,1,310.526660323379,6.589447882644265,310.067071625,7.0490365810233016,310.56098939943007,6.555118806593214,311.74249116583206,5.37361704019122,310.5266603233791,6.589447882644208
Yueyang,Hunan,Flat,30793,30756,2458,4297,6914,2065,315.3912580617323,316.598907845,38.24974696936623,75.86787638965828,4.589591319163132,11.66631414794778,4,310.70473132189227,4.686526739840019,310.75096046,4.6402976017323,310.6797236302291,4.711534431503196,310.30271607568426,5.088541986048028,311.0729345537848,4.318323507947468
Changde,Hunan,Transitional,28563,27968,2175,5395,8626,2452,316.39713057384967,316.97745355999996,35.15251950526333,69.44710075328696,9.179076261161427,12.153054245218467,3,309.30713191891454,7.08999865493513,309.29459910500003,7.102531468849634,309.3740271047437,7.02310346910599,308.94727698643703,7.449853587412633,308.63343289855675,7.763697675292917
Changsha,Hunan,Transitional,58390,58277,8849,5984,10641,2636,320.2850291605258,320.70936173,56.538278866538086,95.50608687453412,7.115646445836923,11.956484563033904,11,311.9008222001648,8.384206960361041,311.904827045,8.380202115525833,311.9693449215419,8.31568423898392,311.0265349079378,9.258494252588036,312.5047198520628,7.780309308463018
Ezhou,Hubei,Transitional,32732,32687,1026,3177,5763,915,317.4995581138421,318.95919307249994,30.01844615497684,60.03349321156358,5.548157798600043,11.498739884306591,5,312.120593439576,5.378964674266115,312.14807613500005,5.35148197884206,312.27912412693803,5.220433986904084,310.9408902435115,6.558667870330623,312.53564369997207,4.963914413870043
Hengyang,Hunan,Transitional,30984,30911,2573,5880,9645,2736,319.2298692932861,319.834633445,73.1573199797299,130.64448641397084,6.676123195659095,11.756835550241354,4,311.5354057479536,7.694463545332496,311.5432290125,7.686640280786094,311.5774980591664,7.652371234119698,310.1401301472089,9.089739146077193,312.78422717555856,6.445642117727516
Jingmen,Hubei,Transitional,28259,28214,1293,6410,10618,2705,315.70293494436544,316.14630503,107.5261169255268,144.75230128120717,6.276577985917811,11.854063723919664,7,307.74717368538245,7.955761258982989,307.737121325,7.965813619365463,307.8254221869255,7.877512757439945,306.5929848826091,9.109950061756365,308.39059862818993,7.312336316175504
Loudi,Hunan,Transitional,23286,23249,1133,4508,7653,2917,317.9934237029929,317.989472315,126.6292940969958,230.86566719532087,6.147887312397032,11.727730591926909,5,308.83909705133334,9.154326651659574,308.980141265,9.013282437992927,308.96413306160014,9.029290641392777,308.0483209142928,9.945102788700126,310.7515821634657,7.241841539527229
Xiangtan,Hunan,Transitional,51499,51257,2859,7536,13736,3431,320.5654235558111,320.93295720500004,57.315346289250456,90.73442609844582,6.2815772279392945,11.868034185018388,5,311.5622338719435,9.003189683867618,311.50620046250003,9.059223093311061,311.5991251005006,8.966298455310493,310.9373746483538,9.628048907457298,312.2650762134427,8.300347342368411
Xiangyang,Hubei,Transitional,36754,36710,3720,8781,15096,4671,315.1229638081032,316.058860685,73.29195065417488,105.61479071499109,5.51851179803365,11.270076249479894,5,310.4284134357506,4.69455037235258,310.60740361999996,4.515560188103223,310.75584124810473,4.36712255999845,310.58512947421644,4.537834333886735,310.124755924875,4.99820788322819
Xiaogan,Hubei,Transitional,25970,25929,1353,4170,7296,703,318.30896459783594,318.719732288,29.526539545029586,34.52475975478807,3.5873353070427783,11.104331915459058,2,310.83857449015755,7.470390107678384,310.81533317,7.493631427835965,310.67592236577303,7.633042232062905,310.3951442133464,7.913820384489554,310.61736092316124,7.691603674674695
Xinyu,Jiangxi,Transitional,28121,28076,1880,8531,14365,5976,320.80650873686227,321.15256499000003,61.48878529223268,107.02328764113199,4.744414890253953,11.446188897696636,6,310.6833633016089,10.123145435253377,310.33738003999997,10.469128696862299,310.8091903111183,9.99731842574397,310.1727468684924,10.633761868369845,311.50343538988545,9.303073346976817
Yiyang,Hunan,Transitional,29580,29532,2084,5519,9434,2529,314.8062073218769,314.59281494000004,47.071868313575735,92.06666015059561,9.073511523105413,12.144221937924156,5,309.6568929317567,5.149314390120196,309.8463245,4.959882821876931,309.7298790880061,5.076328233870811,308.55813873920164,6.248068582675273,310.6982130491356,4.107994272741337
Zhuzhou,Hunan,Transitional,55993,55741,3037,8240,15479,3835,319.3780512683991,320.06449528999997,60.9691694652627,88.72714486169828,6.407239664098029,11.791549133503521,6,311.56659290756767,7.811458360831409,311.51773628,7.860314988399068,311.5916958655536,7.786355402845459,310.9447340447262,8.433317223672873,312.1828238447915,7.195227423607548
Chenzhou,Hunan,Hilly,27714,25209,1185,8131,14031,6620,314.8102807177266,315.42168479,199.51538067257775,470.49667126622245,6.002481778793566,11.878263764066423,12,306.7607507369362,8.049529980790396,307.316135195,7.494145522726569,307.09937229066054,7.710908427066045,306.2018701666315,8.608410551095062,308.8660946821757,5.944186035550899
Fuzhou,Jiangxi,Hilly,29342,29295,1687,7963,13167,4462,317.37862104967155,318.240127115,44.053751374973785,64.39177611310403,8.70372591971065,12.160672286089873,3,311.14226841410334,6.23635263556821,311.07738136999996,6.301239679671596,311.3227019613137,6.055919088357825,310.6034174365231,6.775203613148449,311.5521040545842,5.8265169950873315
Ganzhou,Jiangxi,Hilly,45029,44971,3887,12257,21576,10443,317.5831413451199,318.05185117999997,124.53538947717958,265.6568669315012,5.919917788036315,11.765879991262903,4,308.52608718348955,9.057054161630333,308.43126422,9.151877125119881,308.62377150724336,8.959369837876523,308.23019829341814,9.352943051701743,311.7160169376487,5.867124407471181
Huanggang,Hubei,Hilly,32732,32687,1077,3177,5763,915,316.2086458112117,317.483035685,27.072088935007134,60.03349321156358,4.218046320862836,11.000962001408606,6,312.120593439576,4.088052371635683,312.14807613500005,4.060569676211628,312.27912412693803,3.9295216842736522,310.9408902435115,5.267755567700192,312.57910362388697,3.6295421873247165
Ji'an,Jiangxi,Hilly,38630,38585,1680,10753,18685,7220,316.0491508293947,316.8703556,61.87098376295854,123.43674692036986,5.07746718027737,11.866516952563439,7,310.4329112779157,5.616239551478998,310.54929728,5.499853549394686,310.36358679904265,5.6855640303520545,309.8867699259259,6.162380903468829,311.2151977718401,4.833953057554595
Jingdezhen,Jiangxi,Hilly,28675,28625,1601,10408,17646,9208,315.9075138123473,316.55191007,49.16114648213991,136.41193359179462,7.198212796398053,11.951855336684268,5,308.21693562786345,7.690578184483854,308.17206437,7.735449442347317,308.23301836913873,7.674495443208571,308.00908933075635,7.898424481590951,309.0989511206418,6.808562691705504
