city,province,stratum,unique_roi_cells,unique_roi_lst_mean_c,unique_roi_dem_mean_m,unique_roi_slope_mean_deg,full_roi_total_cells,full_roi_quality_valid_cells,urban_cells,strict_rural_cells,broad_rural_cells,conservative_rural_cells,urban_mean_lst_k,urban_median_lst_k,urban_mean_dem_m,strict_rural_mean_dem_m,elevation_match_abs_dem_median_m,elevation_match_abs_dem_q95_m,elevation_match_rural_bands,rural_strict_mean_lst_k,city_suhi_strict_mean_k,rural_strict_median_lst_k,city_suhi_strict_median_k,rural_broad_mean_lst_k,city_suhi_broad_mean_k,rural_conservative_mean_lst_k,city_suhi_conservative_mean_k,rural_elevation_matched_lst_k,city_suhi_elevation_matched_k,annual_average_max_error_k,valid_six_year_cells,valid_five_year_cells,valid_four_year_cells,clear_observations_median,clear_observations_q25,clear_observations_q75,full_roi_lst_mean_c
Changde,Hunan,Transitional,27968,37.56650203054852,51.14315514731488,4.313194626397977,28563,27968,2175,5395,8626,2452,316.39713057384967,316.97745356,35.15251950526333,69.44710075328696,9.179076261161429,12.153054245218469,3,309.30713191891454,7.08999865493513,309.29459910500003,7.102531468849634,309.3740271047437,7.02310346910599,308.94727698643703,7.449853587412633,308.63343289855675,7.763697675292917,0.0,26357,1526,85,18.0,16.0,19.0,37.56650203054852
Changsha,Hunan,Transitional,52928,42.184547693104776,64.4475583087095,6.744172420458522,58390,58277,8849,5984,10641,2636,320.2850291605258,320.70936173,56.538278866538086,95.50608687453412,7.115646445836923,11.956484563033904,11,311.9008222001648,8.384206960361041,311.904827045,8.380202115525833,311.9693449215419,8.31568423898392,311.0265349079378,9.258494252588036,312.5047198520628,7.780309308463018,0.0,57443,824,10,46.0,28.0,53.0,42.12989290695669
Chenzhou,Hunan,Hilly,25209,35.620372631592886,345.02878243779384,15.090542260166323,27714,25209,1185,8131,14031,6620,314.8102807177266,315.42168479,199.5153806725777,470.4966712662225,6.002481778793566,11.878263764066425,12,306.7607507369362,8.049529980790396,307.316135195,7.494145522726569,307.09937229066054,7.710908427066045,306.2018701666315,8.608410551095062,308.8660946821757,5.944186035550899,0.0,15982,7296,1931,19.0,16.0,21.0,35.620372631592886
Enshi,Hubei,Mountainous,19834,33.29880475451,754.4727194949239,21.74338865538417,23284,19834,977,6884,10789,5060,313.15557618826097,313.5614274050001,447.4333909552941,890.939132708295,6.699116528232025,11.8903288723934,7,305.0999575726319,8.055618615629044,305.0309324735,8.124643714760964,305.10133049052985,8.054245697731119,304.8235525312087,8.332023657052275,306.189081959126,6.96649422913498,0.0,18469,1145,220,18.0,15.0,20.0,33.29880475451
Ezhou,Hubei,Transitional,11801,40.117386772406974,29.2938128146516,4.242250226482886,32732,32687,1026,3177,5763,915,317.4995581138421,318.95919307249994,30.01844615497684,60.03349321156358,5.548157798600043,11.498739884306593,5,312.120593439576,5.378964674266115,312.14807613500005,5.35148197884206,312.27912412693803,5.220433986904084,310.9408902435115,6.558667870330623,312.53564369997207,4.963914413870043,0.0,32360,327,0,29.0,26.0,56.0,39.99667766007531
Fuzhou,Jiangxi,Hilly,29295,39.48281783347227,53.922103955255935,3.836400819018952,29342,29295,1687,7963,13167,4462,317.37862104967155,318.240127115,44.053751374973785,64.39177611310403,8.70372591971065,12.160672286089872,3,311.14226841410334,6.23635263556821,311.07738137,6.301239679671596,311.3227019613137,6.055919088357825,310.6034174365231,6.775203613148449,311.5521040545842,5.826516995087332,0.0,28562,732,1,27.0,25.0,47.0,39.48281783347227
Ganzhou,Jiangxi,Hilly,44971,38.11085211619189,212.0949976890465,14.557866680819036,45029,44971,3887,12257,21576,10443,317.5831413451199,318.05185118,124.53538947717958,265.6568669315012,5.919917788036315,11.765879991262905,4,308.52608718348955,9.057054161630331,308.43126422,9.15187712511988,308.62377150724336,8.959369837876523,308.23019829341814,9.352943051701743,311.7160169376487,5.867124407471181,0.0,41673,3214,84,27.0,20.0,33.0,38.11085211619189
Hengyang,Hunan,Transitional,30911,40.76806927717013,91.64577083667508,7.460779998103113,30984,30911,2573,5880,9645,2736,319.2298692932861,319.834633445,73.1573199797299,130.64448641397084,6.676123195659095,11.756835550241354,4,311.5354057479536,7.694463545332496,311.5432290125,7.686640280786094,311.5774980591664,7.652371234119698,310.1401301472089,9.089739146077193,312.78422717555856,6.445642117727516,0.0,29997,871,43,42.0,25.0,49.0,40.76806927717013
Huaihua,Hunan,Mountainous,21668,35.32882981938275,375.0385764797708,16.831244536638764,21772,21668,736,8047,13511,6791,318.1269103496542,318.624654365,247.73346984242875,435.1819753107822,5.647826080649935,11.840028153585038,7,306.25148022042976,11.875430129224467,306.415543892,11.711366457654208,306.53553468660084,11.591375663053384,305.8420306537361,12.284879695918107,308.5865897132274,9.540320636426827,0.0,16667,4403,598,16.0,14.0,17.0,35.32882981938275
Huanggang,Hubei,Hilly,16789,39.72948573931643,26.85342051524241,3.0774512265162857,32732,32687,1077,3177,5763,915,316.2086458112117,317.483035685,27.07208893500713,60.03349321156358,4.218046320862836,11.000962001408606,6,312.120593439576,4.088052371635683,312.14807613500005,4.060569676211628,312.27912412693803,3.929521684273652,310.9408902435115,5.267755567700192,312.57910362388697,3.629542187324717,0.0,32360,327,0,29.0,26.0,56.0,39.99667766007531
Huangshi,Hubei,Mountainous,37837,39.727566114764784,74.44477911349158,8.387344408791968,41670,41613,3374,6310,10684,3375,316.9107172429075,317.8312464725,41.37326671647318,150.53132784208063,5.716323551379116,11.835271114304186,16,310.71761284489287,6.193104398014611,310.8701639075,6.0405533354074805,310.8988754141318,6.011841828775687,309.4054745931876,7.505242649719889,312.22105328532024,4.689663957587243,0.0,40669,939,5,25.0,24.0,27.0,39.782767593937706
