city,stratum,full_roi_landsat_k,full_roi_modis_day_k,full_roi_modis_night_k,full_roi_air_temperature_c,full_roi_landsat_c,full_roi_modis_day_c,full_roi_modis_night_c
Changde,Transitional,310.7165020305485,306.48331499725003,296.57151084251416,28.268261089011908,37.56650203054852,33.333314997250056,23.42151084251418
Changsha,Transitional,315.27989290695666,308.20530147542405,297.62314732601254,28.8427839098564,42.12989290695669,35.05530147542407,24.473147326012565
Chenzhou,Hilly,308.77037263159286,305.97205822556714,295.0785737013406,27.322067255150863,35.620372631592886,32.82205822556716,21.92857370134061
Enshi,Mountainous,306.44880475451,305.47953955321697,291.8890245038338,23.99868215466471,33.29880475451,32.32953955321699,18.739024503833832
Ezhou,Transitional,313.1466776600753,306.4622395780514,297.1977717980617,28.44477350180071,39.99667766007531,33.31223957805145,24.04777179806177
Fuzhou,Hilly,312.6328178334723,306.7079374293248,296.5549333156956,29.14080817073092,39.482817833472325,33.557937429324795,23.404933315695587
Ganzhou,Hilly,311.26085211619187,307.3699116673879,295.7066716224294,28.09049809857214,38.11085211619189,34.21991166738792,22.556671622429405
Hengyang,Transitional,313.9180692771701,307.94830655322767,296.8848086106684,29.263107929842477,40.76806927717013,34.79830655322769,23.73480861066844
Huaihua,Mountainous,308.4788298193828,305.3080698946744,294.4721563210792,26.80014633014717,35.328829819382804,32.15806989467444,21.32215632107921
Huanggang,Hilly,313.1466776600753,306.4622395780514,297.1977717980617,28.44477350180071,39.99667766007531,33.31223957805145,24.04777179806177
Huangshi,Mountainous,312.9327675939376,306.67704694206566,296.5896095856259,28.30412285996891,39.78276759393765,33.52704694206568,23.43960958562593
Ji'an,Hilly,311.53272164977164,306.88864466254347,296.95469477048573,29.0770863327596,38.38272164977167,33.73864466254349,23.804694770485757
Jingdezhen,Hilly,309.4958730058564,305.0929455057811,295.65088805341475,28.300775646809637,36.34587300585645,31.942945505781097,22.50088805341477
Jingmen,Transitional,309.4777508710703,305.9872501243194,295.67100674905294,27.55595255662149,36.32775087107035,32.83725012431944,22.52100674905296
Jingzhou,Flat,309.9478516484705,305.6899461811985,296.02368925549945,28.1131634230473,36.7978516484705,32.5399461811985,22.87368925549947
Jiujiang,Flat,311.6145083409635,304.82365111479805,297.0139267624566,28.27518680788013,38.46450834096351,31.67365111479808,23.86392676245663
Loudi,Transitional,311.1423234559641,306.9360136029174,296.33816376495577,28.070655216669643,37.99232345596414,33.78601360291742,23.18816376495579
Nanchang,Flat,313.52235462887745,306.74943022975464,297.3942435397234,28.933056401986597,40.372354628877474,33.59943022975466,24.244243539723414
Pingxiang,Hilly,311.48254654866145,306.68779885431724,295.7485136623827,28.003704856034105,38.33254654866147,33.53779885431726,22.598513662382743
Qianjiang,Flat,311.0385964444894,306.0231869231652,296.4747884480787,28.007385019830625,37.888596444489394,32.87318692316518,23.32478844807872
Shangrao,Hilly,312.21224706242225,307.95956921650406,295.7234838649508,28.044742793259072,39.06224706242227,34.80956921650409,22.573483864950845
Shaoyang,Hilly,309.47180222515664,306.47847209702445,294.95266716914665,27.463306120579947,36.32180222515666,33.32847209702447,21.802667169146677
Shiyan,Mountainous,307.4414897579233,305.5058183415055,292.98820174824743,25.977505570814888,34.29148975792333,32.35581834150554,19.838201748247457
Suizhou,Hilly,310.0379476748051,306.43003948256774,295.428493114774,27.188378346621704,36.88794767480511,33.28003948256776,22.27849311477405
Tianmen,Flat,310.3255715192976,305.37156319899447,296.0805687497435,27.89905861295076,37.17557151929765,32.22156319899449,22.930568749743543
Wuhan,Flat,314.5633367463877,307.67738488973407,297.6481528803854,28.481584616347654,41.4133367463877,34.527384889734094,24.49815288038542
Xiangtan,Transitional,314.0458665130795,307.46053725675773,296.94941493919424,28.96488001041719,40.89586651307951,34.310537256757755,23.799414939194264
Xiangxi,Mountainous,307.9163194849814,304.6213487769083,293.790298736015,26.428931366002757,34.76631948498141,31.471348776908314,20.64029873601504
Xiangyang,Transitional,311.63061108020105,307.8703465716882,295.1087558113921,27.612647997663803,38.48061108020107,34.7203465716882,21.95875581139211
Xianning,Hilly,312.2983643773956,306.43795196417904,296.3484967468621,28.289614837327484,39.14836437739558,33.28795196417906,23.198496746862133
Xiantao,Flat,311.6241608368833,305.9959455419837,297.4245225110786,28.16114447398825,38.4741608368833,32.845945541983724,24.2745225110786
Xiaogan,Transitional,312.2719300892244,306.35604823595315,297.110746491396,27.9597354131853,39.121930089224406,33.206048235953176,23.96074649139604
Xinyu,Transitional,312.4385713490122,306.7371479213612,296.36322176624407,28.80947477722004,39.288571349012216,33.58714792136118,23.21322176624409
Yichang,Mountainous,309.8928537623741,306.93054353312385,294.24978838352075,26.648587866552475,36.742853762374125,33.780543533123875,21.09978838352077
Yichun,Hilly,311.8918570178315,306.5559987354777,295.7803965486805,28.19472099896859,38.741857017831535,33.40599873547774,22.63039654868055
Yingtan,Hilly,313.21286292214995,307.4352777265645,296.69085105563573,28.98434765822425,40.062862922149975,34.28527772656457,23.54085105563576
Yiyang,Transitional,311.2344632352025,306.02409153598546,296.8345358180038,28.56366437953568,38.08446323520258,32.874091535985485,23.68453581800384
Yongzhou,Hilly,312.6638766042243,307.0276785055966,296.2643072996313,28.39053039087988,39.51387660422432,33.877678505596634,23.11430729963132
Yueyang,Flat,310.2827381219145,304.7586164433736,297.185037607042,28.716749179036796,37.13273812191454,31.60861644337365,24.035037607042
Zhangjiajie,Mountainous,307.16933713809675,304.69760968966665,293.8596828452054,25.69898464824872,34.01933713809677,31.547609689666672,20.709682845205407
