step,feature,vif,removed_at_step
0,Tair_mean,18.85007365098056,False
0,Tair_max,7.939912329376964,False
0,Precip_annual,2.185335726391172,False
0,VPD_summer,6.711892175553044,False
0,Solar_RAD,5.1407230998391364,False
0,NDVI_mean,12.113927114026005,False
0,EVI_mean,10.896867145252251,False
0,LAI,2.4784788871289867,False
0,PLAND_imperv,11.743906149657537,False
0,PLAND_water,5.7774053976469455,False
0,PLAND_veg,13.85950845650045,False
0,ED_total,1.321104661129112,False
0,AI_imperv,3.8903823412729315,False
0,Mean_Bld_Height,7.759235595091542,False
0,Bld_Volume_density,20.66795836694581,False
0,Sky_View_Factor,17.531435167059666,False
0,DEM,10.587279981324112,False
0,Slope,113.96213254043928,True
0,Aspect,1.0227234220896675,False
0,TRI,108.3272462067516,False
0,Relative_elevation,2.3108918131388902,False
1,Tair_mean,18.81125508563955,False
1,Tair_max,7.894115353606573,False
1,Precip_annual,2.184938283515023,False
1,VPD_summer,6.699857245269681,False
1,Solar_RAD,5.137849589756895,False
1,NDVI_mean,11.813911265626674,False
1,EVI_mean,10.596392713580771,False
1,LAI,2.4329554452949025,False
1,PLAND_imperv,11.741742358427535,False
1,PLAND_water,5.762593067643589,False
1,PLAND_veg,13.859326280158948,False
1,ED_total,1.3210084642507245,False
1,AI_imperv,3.890353321702692,False
1,Mean_Bld_Height,7.758167373925802,False
1,Bld_Volume_density,20.66388807343981,True
1,Sky_View_Factor,17.530715520722058,False
1,DEM,10.523486992250248,False
1,Aspect,1.0222064683527785,False
1,TRI,3.096424954429626,False
1,Relative_elevation,2.310491127652606,False
2,Tair_mean,18.811006122209918,True
2,Tair_max,7.8935946755617366,False
2,Precip_annual,2.184934305704362,False
2,VPD_summer,6.699801141165487,False
2,Solar_RAD,5.137708176001188,False
2,NDVI_mean,11.812451634771454,False
2,EVI_mean,10.593859745574642,False
2,LAI,2.4321660990728287,False
2,PLAND_imperv,11.489063941464707,False
2,PLAND_water,5.7619015991025995,False
2,PLAND_veg,13.859072042831844,False
2,ED_total,1.3202686236428247,False
2,AI_imperv,3.736362926741365,False
2,Mean_Bld_Height,5.538686634561487,False
2,Sky_View_Factor,4.4354988737498555,False
2,DEM,10.521992067331132,False
2,Aspect,1.0221986914358916,False
2,TRI,3.096392127147769,False
2,Relative_elevation,2.310477818785707,False
3,Tair_max,7.556716661444502,False
3,Precip_annual,1.5686563408244372,False
3,VPD_summer,5.784565217413674,False
3,Solar_RAD,3.565765518696129,False
3,NDVI_mean,11.809445361341046,False
3,EVI_mean,10.574658017692734,False
3,LAI,2.4173768741663166,False
3,PLAND_imperv,11.47830153210043,False
3,PLAND_water,5.761157211668691,False
3,PLAND_veg,13.82335080930531,True
3,ED_total,1.3202091114831853,False
3,AI_imperv,3.725883035142921,False
3,Mean_Bld_Height,5.538654744790705,False
3,Sky_View_Factor,4.434670499590462,False
3,DEM,5.734288967416326,False
3,Aspect,1.0221982025182332,False
3,TRI,3.0952245764809896,False
3,Relative_elevation,1.577768742733798,False
4,Tair_max,7.556700431620435,False
4,Precip_annual,1.5644112804421637,False
4,VPD_summer,5.782298236111993,False
4,Solar_RAD,3.5522528696444144,False
4,NDVI_mean,11.754773181081282,True
4,EVI_mean,10.432749314232725,False
4,LAI,2.4024692623907105,False
4,PLAND_imperv,3.3053965255025974,False
4,PLAND_water,3.15519681168848,False
4,ED_total,1.3149396378037526,False
4,AI_imperv,3.725074111849754,False
4,Mean_Bld_Height,5.5211459532500315,False
4,Sky_View_Factor,4.398517799965041,False
4,DEM,5.713320724260248,False
4,Aspect,1.0221911412422529,False
4,TRI,3.0911590561076783,False
4,Relative_elevation,1.5707284930385774,False
5,Tair_max,7.538389101434056,True
5,Precip_annual,1.5586865662384226,False
5,VPD_summer,5.704796456295543,False
5,Solar_RAD,3.547035291348054,False
5,EVI_mean,3.6789569627438765,False
5,LAI,2.381461271085974,False
5,PLAND_imperv,3.114726629158456,False
5,PLAND_water,2.8072761740900036,False
5,ED_total,1.3147070744991787,False
5,AI_imperv,3.7158322163428146,False
5,Mean_Bld_Height,5.501495071626013,False
5,Sky_View_Factor,4.373616704975544,False
5,DEM,5.660763902528387,False
5,Aspect,1.0165344392204068,False
5,TRI,3.083003382476712,False
5,Relative_elevation,1.5701267148296223,False
6,Precip_annual,1.1918254736115617,False
6,VPD_summer,2.889523038490283,False
6,Solar_RAD,3.5236806753076597,False
6,EVI_mean,3.6708588111565,False
6,LAI,2.376721370519032,False
6,PLAND_imperv,3.1146694448199472,False
6,PLAND_water,2.804757870749225,False
6,ED_total,1.3147070744630716,False
6,AI_imperv,3.7143007157716195,False
6,Mean_Bld_Height,5.500621033825012,True
6,Sky_View_Factor,4.371327557761106,False
6,DEM,3.234172625404275,False
6,Aspect,1.0164982560668678,False
6,TRI,3.00748689893758,False
6,Relative_elevation,1.3080441312428968,False
7,Precip_annual,1.1914715419303656,False
7,VPD_summer,2.8838983945424324,False
7,Solar_RAD,3.522739560328644,False
7,EVI_mean,3.6695448586133783,False
7,LAI,2.376638899133767,False
7,PLAND_imperv,3.017105696987022,False
7,PLAND_water,2.8028793632614595,False
7,ED_total,1.31388533824015,False
7,AI_imperv,3.4562220225481664,False
7,Sky_View_Factor,1.9261971393944726,False
7,DEM,3.2341539226084786,False
7,Aspect,1.0164804848906748,False
7,TRI,3.0056487499674147,False
7,Relative_elevation,1.30803743159325,False
