mode,omitted_mountainous_city,category,remaining_mountainous_cities,mountainous_minus_flat_pp,scope
full_fit,Enshi,Climate,6,10.280781561360424,city-summary omission conditional on existing model fits
full_fit,Enshi,Surface,6,-7.792262067470407,city-summary omission conditional on existing model fits
full_fit,Enshi,Topography,6,8.462395970726455,city-summary omission conditional on existing model fits
full_fit,Enshi,Urban2D,6,-8.681865829532768,city-summary omission conditional on existing model fits
full_fit,Enshi,Urban3D,6,-2.2690496350836895,city-summary omission conditional on existing model fits
full_fit,Huaihua,Climate,6,10.177305667311181,city-summary omission conditional on existing model fits
full_fit,Huaihua,Surface,6,-9.268763358700571,city-summary omission conditional on existing model fits
full_fit,Huaihua,Topography,6,11.081325336441807,city-summary omission conditional on existing model fits
full_fit,Huaihua,Urban2D,6,-9.72846302407105,city-summary omission conditional on existing model fits
full_fit,Huaihua,Urban3D,6,-2.261404620981355,city-summary omission conditional on existing model fits
full_fit,Huangshi,Climate,6,12.49154440759358,city-summary omission conditional on existing model fits
full_fit,Huangshi,Surface,6,-10.289972373255729,city-summary omission conditional on existing model fits
full_fit,Huangshi,Topography,6,11.824585287909056,city-summary omission conditional on existing model fits
full_fit,Huangshi,Urban2D,6,-11.328137670857142,city-summary omission conditional on existing model fits
full_fit,Huangshi,Urban3D,6,-2.6980196513897563,city-summary omission conditional on existing model fits
full_fit,Shiyan,Climate,6,10.603536751671204,city-summary omission conditional on existing model fits
full_fit,Shiyan,Surface,6,-9.568790599856296,city-summary omission conditional on existing model fits
full_fit,Shiyan,Topography,6,10.998705681337896,city-summary omission conditional on existing model fits
full_fit,Shiyan,Urban2D,6,-9.768422442508864,city-summary omission conditional on existing model fits
full_fit,Shiyan,Urban3D,6,-2.265029390643936,city-summary omission conditional on existing model fits
full_fit,Xiangxi,Climate,6,9.861028354237686,city-summary omission conditional on existing model fits
full_fit,Xiangxi,Surface,6,-8.792982056283133,city-summary omission conditional on existing model fits
full_fit,Xiangxi,Topography,6,10.938990727141235,city-summary omission conditional on existing model fits
full_fit,Xiangxi,Urban2D,6,-9.786100359074098,city-summary omission conditional on existing model fits
full_fit,Xiangxi,Urban3D,6,-2.22093666602168,city-summary omission conditional on existing model fits
full_fit,Yichang,Climate,6,10.022404523447761,city-summary omission conditional on existing model fits
full_fit,Yichang,Surface,6,-9.107342217250153,city-summary omission conditional on existing model fits
full_fit,Yichang,Topography,6,11.43940245305972,city-summary omission conditional on existing model fits
full_fit,Yichang,Urban2D,6,-9.93536682833415,city-summary omission conditional on existing model fits
full_fit,Yichang,Urban3D,6,-2.419097930923176,city-summary omission conditional on existing model fits
full_fit,Zhangjiajie,Climate,6,9.866733756500498,city-summary omission conditional on existing model fits
full_fit,Zhangjiajie,Surface,6,-8.262505328538172,city-summary omission conditional on existing model fits
full_fit,Zhangjiajie,Topography,6,9.961756226600862,city-summary omission conditional on existing model fits
full_fit,Zhangjiajie,Urban2D,6,-9.381366161788893,city-summary omission conditional on existing model fits
full_fit,Zhangjiajie,Urban3D,6,-2.1846184927742818,city-summary omission conditional on existing model fits
heldout_city,Enshi,Climate,6,11.70547609515948,city-summary omission conditional on existing model fits
heldout_city,Enshi,Surface,6,-8.279293780596799,city-summary omission conditional on existing model fits
heldout_city,Enshi,Topography,6,7.812163460485565,city-summary omission conditional on existing model fits
heldout_city,Enshi,Urban2D,6,-8.887851301260632,city-summary omission conditional on existing model fits
heldout_city,Enshi,Urban3D,6,-2.3504944737875895,city-summary omission conditional on existing model fits
heldout_city,Huaihua,Climate,6,10.038090718978893,city-summary omission conditional on existing model fits
heldout_city,Huaihua,Surface,6,-9.736033729443992,city-summary omission conditional on existing model fits
heldout_city,Huaihua,Topography,6,12.117158009900624,city-summary omission conditional on existing model fits
heldout_city,Huaihua,Urban2D,6,-10.108725783028376,city-summary omission conditional on existing model fits
heldout_city,Huaihua,Urban3D,6,-2.3104892164071407,city-summary omission conditional on existing model fits
heldout_city,Huangshi,Climate,6,12.149593375533101,city-summary omission conditional on existing model fits
heldout_city,Huangshi,Surface,6,-10.528340785408304,city-summary omission conditional on existing model fits
heldout_city,Huangshi,Topography,6,12.55267735211481,city-summary omission conditional on existing model fits
heldout_city,Huangshi,Urban2D,6,-11.444884947304306,city-summary omission conditional on existing model fits
heldout_city,Huangshi,Urban3D,6,-2.7290449949352897,city-summary omission conditional on existing model fits
heldout_city,Shiyan,Climate,6,9.738896667375059,city-summary omission conditional on existing model fits
heldout_city,Shiyan,Surface,6,-9.63636849646808,city-summary omission conditional on existing model fits
heldout_city,Shiyan,Topography,6,12.017900439031848,city-summary omission conditional on existing model fits
heldout_city,Shiyan,Urban2D,6,-9.904193668117525,city-summary omission conditional on existing model fits
heldout_city,Shiyan,Urban3D,6,-2.216234941821282,city-summary omission conditional on existing model fits
heldout_city,Xiangxi,Climate,6,10.602982961070008,city-summary omission conditional on existing model fits
heldout_city,Xiangxi,Surface,6,-9.802406364636916,city-summary omission conditional on existing model fits
heldout_city,Xiangxi,Topography,6,11.712841584998852,city-summary omission conditional on existing model fits
heldout_city,Xiangxi,Urban2D,6,-10.268858059415638,city-summary omission conditional on existing model fits
heldout_city,Xiangxi,Urban3D,6,-2.2445601220162956,city-summary omission conditional on existing model fits
heldout_city,Yichang,Climate,6,10.55921230708623,city-summary omission conditional on existing model fits
heldout_city,Yichang,Surface,6,-10.043528613107814,city-summary omission conditional on existing model fits
heldout_city,Yichang,Topography,6,12.369433107695695,city-summary omission conditional on existing model fits
heldout_city,Yichang,Urban2D,6,-10.417550635344526,city-summary omission conditional on existing model fits
heldout_city,Yichang,Urban3D,6,-2.467566166329582,city-summary omission conditional on existing model fits
heldout_city,Zhangjiajie,Climate,6,10.490076852511034,city-summary omission conditional on existing model fits
heldout_city,Zhangjiajie,Surface,6,-9.229368295949474,city-summary omission conditional on existing model fits
heldout_city,Zhangjiajie,Topography,6,11.073564794773052,city-summary omission conditional on existing model fits
heldout_city,Zhangjiajie,Urban2D,6,-10.084854998045042,city-summary omission conditional on existing model fits
heldout_city,Zhangjiajie,Urban3D,6,-2.2494183532895606,city-summary omission conditional on existing model fits
