parameter,estimate,city_jackknife_se,ci_low,ci_high,city_deletion_min,city_deletion_max,n_cities,model_assumption_se,ols_same_sample_coefficient,outcome,k
Intercept,180.2484157108534,5.409217831683494,169.31597867043203,191.18085275127478,178.3668859558526,182.71154394480087,41.0,2.1908884232449326,311.2528276264114,absolute_lst,8
Precip_annual,0.18768862206903153,0.0642941841177811,0.05774522880876373,0.3176320153292993,0.1674324662120828,0.2181282941977902,41.0,0.015087227958045103,0.3283667355812545,absolute_lst,8
VPD_summer,0.2364945585603846,0.09859452093951145,0.037227598670501516,0.43576151845026767,0.1918908357556947,0.27553268664158886,41.0,0.02388246134352312,0.548392349054506,absolute_lst,8
Solar_RAD,-0.12336432256831752,0.11262724594666887,-0.3509924776291019,0.10426383249246686,-0.16341182469995053,-0.09289572761865343,41.0,0.025695506536537224,-0.23382416142456136,absolute_lst,8
EVI_mean,-1.1409792771637008,0.08094971131091247,-1.3045847465465834,-0.9773738077808183,-1.18333166841034,-1.1212295482813737,41.0,0.02726154444997165,-1.2766792312005593,absolute_lst,8
LAI,-0.3341078389466544,0.04848002876743652,-0.4320896320098605,-0.23612604588344832,-0.3563657087901614,-0.3219684825719717,41.0,0.021368871128946768,-0.5769049064894923,absolute_lst,8
PLAND_imperv,0.3779711395471995,0.04480805740277766,0.2874106774430148,0.46853160165138424,0.3592719144957732,0.39704855052021215,41.0,0.024340611711618054,0.23255923357881006,absolute_lst,8
PLAND_water,-1.4685225521532277,0.07913669231592069,-1.6284637734631744,-1.308581330843281,-1.4966493014611912,-1.4335357264288535,41.0,0.023734686559835804,-1.5575863953862916,absolute_lst,8
ED_total,-0.01111292550782102,0.018935889115887648,-0.049383784993509955,0.02715793397786791,-0.016960044038917883,-0.004297704936430984,41.0,0.015606548026054172,-0.034244367061779545,absolute_lst,8
AI_imperv,0.5400679833057144,0.06438481965791575,0.4099414087857933,0.6701945578256354,0.5229190673992918,0.5684470221406785,41.0,0.027701283171472055,1.0662763602572274,absolute_lst,8
Sky_View_Factor,-0.3880488545097841,0.04239207144035841,-0.4737264268419979,-0.3023712821775703,-0.40026563642906354,-0.3668000224131623,41.0,0.019142526251699113,-0.422418598500203,absolute_lst,8
DEM,-0.6393947210601397,0.12216209464042546,-0.8862935241661695,-0.39249591795411,-0.708449822240133,-0.6042996780243832,41.0,0.026409332856906758,-1.2355396432020647,absolute_lst,8
Aspect,0.010309791556967974,0.015146387985106204,-0.020302200451760788,0.040921783565696736,0.005477226418625969,0.015374441996146923,41.0,0.013805757209300388,0.009072330623904081,absolute_lst,8
TRI,-0.14847138587026062,0.06940149712485703,-0.28873704375972076,-0.00820572798080052,-0.1714709339910123,-0.10775254391896824,41.0,0.02357150277792768,-0.11055217136053302,absolute_lst,8
