k,outcome,model,rho,pseudo_r2_squared_correlation,residual_moran_i,residual_moran_i_city_centered,n_cells,n_cities,r2,rmse_k,mae_k,mean_residual_k
8,absolute_lst,OLS,,0.7764476182843474,0.3749701027871888,0.2492926993211187,15000,41,0.7764476182843473,1.8811842982043327,1.4340621351947906,2.0008883439004423e-14
8,absolute_lst,SLM_conditional,0.4208867893953685,0.8221464341073537,0.131191495021551,0.0616804386603767,15000,41,0.8221210501110015,1.6780464293038282,1.257530869078444,-5.335778041626326e-13
8,absolute_lst,SLM_reduced_form,0.4208867893953685,0.7627328440475711,0.3992562701505183,0.2802928779059233,15000,41,0.7608075447960067,1.9458772154592887,1.4874958019374205,-0.0014312552405211
8,strict_suhi,OLS,,0.6978600788270809,0.382552063645945,0.29147322008374,15000,41,0.6978600788270813,1.9034170812839064,1.4511298294229762,2.3646862246096133e-15
8,strict_suhi,SLM_conditional,0.433278468504699,0.7637193055708171,0.127633839000533,0.0695005410061345,15000,41,0.7636633022430536,1.683431650145102,1.262423136166099,-4.411049303598702e-15
8,strict_suhi,SLM_reduced_form,0.433278468504699,0.682684157308743,0.4024404150638565,0.3034384694590005,15000,41,0.678731232913506,1.9627462663132984,1.5051371219420082,-0.0004440655110572
4,absolute_lst,OLS,,0.7764476182843474,0.408224185230287,0.2893863510524986,15000,41,0.7764476182843473,1.8811842982043327,1.4340621351947906,2.0008883439004423e-14
4,absolute_lst,SLM_conditional,0.3496525595127564,0.8185229359572287,0.1341566027999696,0.0488694290881621,15000,41,0.8184864682454265,1.6951034120722772,1.2704891580891695,-3.337087643255169e-13
4,absolute_lst,SLM_reduced_form,0.3496525595127564,0.7668328452695721,0.4166808548674509,0.3014477665542843,15000,41,0.765866989859022,1.9251874365905084,1.4696124804048345,-0.0030245536335918
4,strict_suhi,OLS,,0.6978600788270809,0.41327016786185,0.3285260280285159,15000,41,0.6978600788270813,1.9034170812839064,1.4511298294229762,2.3646862246096133e-15
4,strict_suhi,SLM_conditional,0.3614337576150417,0.7589358593717852,0.1274337203590899,0.0619143856133412,15000,41,0.7588542602907249,1.7004728543382073,1.275584620349878,-1.8947806286936005e-15
4,strict_suhi,SLM_reduced_form,0.3614337576150417,0.6883570329569233,0.416472694837929,0.3296483742509186,15000,41,0.6865008867534372,1.9388672055218623,1.4811398088288197,-0.0028362835801761
12,absolute_lst,OLS,,0.7764476182843474,0.3530392605049413,0.2234145014633403,15000,41,0.7764476182843473,1.8811842982043327,1.4340621351947906,2.0008883439004423e-14
12,absolute_lst,SLM_conditional,0.4461315512263762,0.8210220837283685,0.128593048489188,0.0652596326171008,15000,41,0.8210057608487669,1.6832988292349529,1.2604488737728476,-4.085450200363994e-13
12,absolute_lst,SLM_reduced_form,0.4461315512263762,0.7604686893998921,0.3830456244256552,0.2619388996516361,15000,41,0.7580831509716215,1.9569275759683256,1.4962132607999703,-4.680609813290933e-05
12,strict_suhi,OLS,,0.6978600788270809,0.3620105786871248,0.2666638229934374,15000,41,0.6978600788270813,1.9034170812839064,1.4511298294229762,2.3646862246096133e-15
12,strict_suhi,SLM_conditional,0.4588598433239719,0.7614902764728838,0.1278236570675936,0.0711555487236669,15000,41,0.7614540679456728,1.6912815608824614,1.2678955505816232,-3.2362853138086698e-15
12,strict_suhi,SLM_reduced_form,0.4588598433239719,0.6779991775962281,0.3901605432535685,0.2812323751965173,15000,41,0.6728049920622448,1.9807663117067165,1.5192120433385718,0.002017889253247
