outcome,stratum,feature,n_cities,mean_abs_shap_k,rank,ci_low_k,ci_high_k,rank_ci_low,rank_ci_high,probability_top1,algorithm,category
strict_suhi,Flat,Tair_mean,8,0.1336618404445987,11,0.1042838538300985,0.1662244635223876,9.0,12.0,0.0,CatBoost,Climate
strict_suhi,Flat,Tair_max,8,0.1416257033597037,10,0.0999311789194556,0.1841855083188864,9.0,12.0,0.0,CatBoost,Climate
strict_suhi,Flat,Precip_annual,8,0.2385860893705826,6,0.2112236224860609,0.2681117425458812,6.0,7.0,0.0,CatBoost,Climate
strict_suhi,Flat,VPD_summer,8,0.123322144845224,12,0.0762531498636944,0.2019346279933834,8.0,15.0,0.0,CatBoost,Climate
strict_suhi,Flat,Solar_RAD,8,0.2284025023819803,7,0.1778974283957098,0.2838484118397771,6.0,8.0,0.0,CatBoost,Climate
strict_suhi,Flat,NDVI_mean,8,0.7921836269843581,1,0.6933863245726992,0.925788698698395,1.0,1.0,0.983,CatBoost,Surface
strict_suhi,Flat,EVI_mean,8,0.1884443611460353,8,0.1796630298362176,0.197739206986065,7.0,10.0,0.0,CatBoost,Surface
strict_suhi,Flat,LAI,8,0.7185787545700295,2,0.6091577773221087,0.8362855307553476,2.0,2.0,0.017,CatBoost,Surface
strict_suhi,Flat,PLAND_imperv,8,0.4048786647443038,4,0.3542017969560252,0.4578423067433406,4.0,4.0,0.0,CatBoost,Urban2D
strict_suhi,Flat,PLAND_water,8,0.6021054992819438,3,0.4814355141654112,0.7281609570917127,3.0,3.0,0.0,CatBoost,Urban2D
strict_suhi,Flat,PLAND_veg,8,0.0670849277383777,16,0.0579575606754134,0.0783817499502483,16.0,17.0,0.0,CatBoost,Urban2D
strict_suhi,Flat,ED_total,8,0.0067841565391871,21,0.0054881441729823,0.008349863549674,21.0,21.0,0.0,CatBoost,Urban2D
strict_suhi,Flat,AI_imperv,8,0.345322821571387,5,0.2859536140736621,0.4058205992302046,5.0,5.0,0.0,CatBoost,Urban2D
strict_suhi,Flat,Mean_Bld_Height,8,0.0768242247075286,15,0.0644018465949011,0.0933371851791881,13.0,15.0,0.0,CatBoost,Urban3D
strict_suhi,Flat,Bld_Volume_density,8,0.0814009582036691,14,0.0731025944148366,0.092137482123626,13.0,15.0,0.0,CatBoost,Urban3D
strict_suhi,Flat,Sky_View_Factor,8,0.0839343154743881,13,0.0679975888324062,0.1039141651017187,12.0,14.0,0.0,CatBoost,Urban3D
strict_suhi,Flat,DEM,8,0.1455096081319644,9,0.1068276710236509,0.1991521265720995,8.0,11.0,0.0,CatBoost,Topography
strict_suhi,Flat,Slope,8,0.0378853099776742,20,0.0334344765810923,0.0434264400809933,19.0,20.0,0.0,CatBoost,Topography
strict_suhi,Flat,Aspect,8,0.0440439632583851,18,0.0411168919914984,0.0473710361213928,17.0,18.0,0.0,CatBoost,Topography
strict_suhi,Flat,TRI,8,0.039218162955652,19,0.035939155345325,0.0428909707371281,18.0,20.0,0.0,CatBoost,Topography
strict_suhi,Flat,Relative_elevation,8,0.053390758503265,17,0.0359127479678044,0.0740412844173439,16.0,19.0,0.0,CatBoost,Topography
strict_suhi,Transitional,Tair_mean,12,0.1469720082669615,11,0.1081318476014387,0.1894537033760225,8.0,11.0,0.0,CatBoost,Climate
strict_suhi,Transitional,Tair_max,12,0.1569209354628639,9,0.1232809804717518,0.1967575573872085,8.0,11.0,0.0,CatBoost,Climate
strict_suhi,Transitional,Precip_annual,12,0.299811685382953,6,0.217416222668916,0.3922263145411118,4.0,7.0,0.0,CatBoost,Climate
strict_suhi,Transitional,VPD_summer,12,0.1091661626023928,12,0.0779645392194465,0.1513462923304211,10.0,13.0,0.0,CatBoost,Climate
strict_suhi,Transitional,Solar_RAD,12,0.2463348442720296,7,0.2123746494772574,0.280540666350106,6.0,7.0,0.0,CatBoost,Climate
strict_suhi,Transitional,NDVI_mean,12,0.7120656245715579,1,0.6695293391821595,0.7605280610381724,1.0,2.0,0.8278,CatBoost,Surface
strict_suhi,Transitional,EVI_mean,12,0.1696927693745763,8,0.1618687620906751,0.1765588928273557,8.0,10.0,0.0,CatBoost,Surface
strict_suhi,Transitional,LAI,12,0.6956182086190345,2,0.6504145250228456,0.7495681550096399,1.0,2.0,0.1722,CatBoost,Surface
strict_suhi,Transitional,PLAND_imperv,12,0.3714367102755924,4,0.3510534535439806,0.3927953963401562,3.0,5.0,0.0,CatBoost,Urban2D
strict_suhi,Transitional,PLAND_water,12,0.4244143048019675,3,0.3573878922687136,0.5025760313416883,3.0,4.0,0.0,CatBoost,Urban2D
strict_suhi,Transitional,PLAND_veg,12,0.0580282933464199,17,0.0513348370567774,0.065119390147866,16.0,18.0,0.0,CatBoost,Urban2D
strict_suhi,Transitional,ED_total,12,0.0062206226096756,21,0.0052942383795182,0.0071789090288864,21.0,21.0,0.0,CatBoost,Urban2D
strict_suhi,Transitional,AI_imperv,12,0.3241453560462329,5,0.2904703436246167,0.3608817885371271,5.0,6.0,0.0,CatBoost,Urban2D
strict_suhi,Transitional,Mean_Bld_Height,12,0.079085235286211,13,0.0676546090020268,0.0918578754263274,12.0,15.0,0.0,CatBoost,Urban3D
strict_suhi,Transitional,Bld_Volume_density,12,0.0744581857232766,15,0.0672649879164966,0.0819716973295383,13.0,16.0,0.0,CatBoost,Urban3D
strict_suhi,Transitional,Sky_View_Factor,12,0.0759335142354871,14,0.0645372123010627,0.089152502699734,13.0,16.0,0.0,CatBoost,Urban3D
strict_suhi,Transitional,DEM,12,0.1497453151443326,10,0.1197023538972311,0.1893331896459719,8.0,12.0,0.0,CatBoost,Topography
strict_suhi,Transitional,Slope,12,0.0428791483117628,20,0.0378918138343188,0.0477571699370996,19.0,20.0,0.0,CatBoost,Topography
strict_suhi,Transitional,Aspect,12,0.0515103817519185,18,0.0483542600532635,0.0547485745018339,17.0,18.0,0.0,CatBoost,Topography
strict_suhi,Transitional,TRI,12,0.0444751901915706,19,0.0396219776907923,0.0492850527915361,19.0,20.0,0.0,CatBoost,Topography
strict_suhi,Transitional,Relative_elevation,12,0.0676293989034534,16,0.0559782006001455,0.0793394780617617,13.0,17.0,0.0,CatBoost,Topography
strict_suhi,Hilly,Tair_mean,14,0.160820368182479,10,0.1220461702895335,0.2002749814432828,8.0,11.0,0.0,CatBoost,Climate
strict_suhi,Hilly,Tair_max,14,0.145964103749288,11,0.1197313421773168,0.1735402460640722,10.0,12.0,0.0,CatBoost,Climate
strict_suhi,Hilly,Precip_annual,14,0.3053282359281943,6,0.2252837569813198,0.3895954952395161,3.0,7.0,0.0,CatBoost,Climate
strict_suhi,Hilly,VPD_summer,14,0.1264959182626949,12,0.0944943134681496,0.1661307342933832,11.0,12.0,0.0,CatBoost,Climate
strict_suhi,Hilly,Solar_RAD,14,0.2246181124483783,8,0.1828387680991931,0.2671526832425567,7.0,9.0,0.0,CatBoost,Climate
strict_suhi,Hilly,NDVI_mean,14,0.7042923362865904,2,0.661681596449932,0.743766779500254,1.0,2.0,0.4055,CatBoost,Surface
strict_suhi,Hilly,EVI_mean,14,0.1829191378989748,9,0.1722040273020794,0.1935380901334868,8.0,10.0,0.0,CatBoost,Surface
strict_suhi,Hilly,LAI,14,0.7100657567417151,1,0.6414988025448183,0.7842025719076408,1.0,2.0,0.5945,CatBoost,Surface
strict_suhi,Hilly,PLAND_imperv,14,0.3796053627230364,4,0.356165388117402,0.4053257919346489,3.0,4.0,0.0,CatBoost,Urban2D
strict_suhi,Hilly,PLAND_water,14,0.3902163322921552,3,0.3276458958032086,0.4845570250330451,3.0,6.0,0.0,CatBoost,Urban2D
strict_suhi,Hilly,PLAND_veg,14,0.0474693595126963,19,0.0421734208879511,0.0536069898927729,18.0,20.0,0.0,CatBoost,Urban2D
strict_suhi,Hilly,ED_total,14,0.0056960575526083,21,0.0048510250547245,0.006679516195442,21.0,21.0,0.0,CatBoost,Urban2D
strict_suhi,Hilly,AI_imperv,14,0.3407099209724344,5,0.3025453437637843,0.3835939778962681,4.0,6.0,0.0,CatBoost,Urban2D
strict_suhi,Hilly,Mean_Bld_Height,14,0.0659373371317647,14,0.0594393055873671,0.0736085211009231,14.0,17.0,0.0,CatBoost,Urban3D
strict_suhi,Hilly,Bld_Volume_density,14,0.0657089878653769,15,0.0617276830729334,0.0702076229436239,14.0,16.0,0.0,CatBoost,Urban3D
strict_suhi,Hilly,Sky_View_Factor,14,0.0639636614929971,16,0.0592406369965126,0.0690958887393883,14.0,17.0,0.0,CatBoost,Urban3D
strict_suhi,Hilly,DEM,14,0.268896150856352,7,0.1924887650148133,0.35485984743358,5.0,8.0,0.0,CatBoost,Topography
strict_suhi,Hilly,Slope,14,0.0556898686199198,18,0.0487612751325496,0.0622138303465791,18.0,19.0,0.0,CatBoost,Topography
strict_suhi,Hilly,Aspect,14,0.0611701094023877,17,0.0552983986954308,0.0671009240224982,14.0,17.0,0.0,CatBoost,Topography
strict_suhi,Hilly,TRI,14,0.0460769250296301,20,0.0427253363314187,0.0494047845479251,19.0,20.0,0.0,CatBoost,Topography
strict_suhi,Hilly,Relative_elevation,14,0.0951093044730758,13,0.0799496483510765,0.1094778347348647,13.0,13.0,0.0,CatBoost,Topography
strict_suhi,Mountainous,Tair_mean,7,0.1573897590646418,10,0.1185547291539185,0.1909432689849116,10.0,12.0,0.0,CatBoost,Climate
strict_suhi,Mountainous,Tair_max,7,0.1510857043006342,12,0.1386953825075469,0.1641687608439193,10.0,12.0,0.0,CatBoost,Climate
strict_suhi,Mountainous,Precip_annual,7,0.3052424519306018,8,0.2337028422218093,0.384853841697077,6.0,8.0,0.0,CatBoost,Climate
strict_suhi,Mountainous,VPD_summer,7,0.1019506045982659,13,0.081198019496408,0.1231346513957234,13.0,14.0,0.0,CatBoost,Climate
strict_suhi,Mountainous,Solar_RAD,7,0.9037351472327364,1,0.6268299423110258,1.0902029715503356,1.0,3.0,0.9241,CatBoost,Climate
strict_suhi,Mountainous,NDVI_mean,7,0.6458993564358043,3,0.5856884274486945,0.7106291948809431,2.0,4.0,0.0192,CatBoost,Surface
strict_suhi,Mountainous,EVI_mean,7,0.2025833536909847,9,0.1928490513972869,0.215363363745446,9.0,9.0,0.0,CatBoost,Surface
strict_suhi,Mountainous,LAI,7,0.7052073573064289,2,0.6611854628679612,0.7583966644913244,1.0,3.0,0.0529,CatBoost,Surface
strict_suhi,Mountainous,PLAND_imperv,7,0.4002603440155018,5,0.3881103845943991,0.411876854771015,4.0,6.0,0.0,CatBoost,Urban2D
strict_suhi,Mountainous,PLAND_water,7,0.3611185819247225,7,0.2921269927840123,0.4511460931899391,4.0,8.0,0.0,CatBoost,Urban2D
strict_suhi,Mountainous,PLAND_veg,7,0.036730023162755,20,0.0279680670710341,0.0478467416073682,19.0,20.0,0.0,CatBoost,Urban2D
strict_suhi,Mountainous,ED_total,7,0.0044607043707861,21,0.0037032733169684,0.005472780346403,21.0,21.0,0.0,CatBoost,Urban2D
strict_suhi,Mountainous,AI_imperv,7,0.3784505044824856,6,0.3409768227883519,0.4089694422989487,5.0,7.0,0.0,CatBoost,Urban2D
strict_suhi,Mountainous,Mean_Bld_Height,7,0.0531610430705829,18,0.0405782652024463,0.0676114575971163,16.0,19.0,0.0,CatBoost,Urban3D
strict_suhi,Mountainous,Bld_Volume_density,7,0.0546811822353623,17,0.0459083226372549,0.0663081713815961,16.0,18.0,0.0,CatBoost,Urban3D
strict_suhi,Mountainous,Sky_View_Factor,7,0.0560675507084001,16,0.0478527460250835,0.0656346583981812,16.0,18.0,0.0,CatBoost,Urban3D
strict_suhi,Mountainous,DEM,7,0.6026360385678035,4,0.3599451263458282,0.8992565807892077,2.0,7.0,0.0038,CatBoost,Topography
strict_suhi,Mountainous,Slope,7,0.0746769388978944,15,0.062924681519294,0.0866042702274949,15.0,17.0,0.0,CatBoost,Topography
strict_suhi,Mountainous,Aspect,7,0.0938597616781284,14,0.0788134867035741,0.1061888655524082,13.0,14.0,0.0,CatBoost,Topography
strict_suhi,Mountainous,TRI,7,0.0460738538618943,19,0.0393634017653113,0.0514009549136353,16.0,20.0,0.0,CatBoost,Topography
strict_suhi,Mountainous,Relative_elevation,7,0.1555253911787918,11,0.127795753146548,0.1865111804490689,10.0,12.0,0.0,CatBoost,Topography
