outcome,category,contrast,difference_pp,ci_low_pp,ci_high_pp
absolute_lst,Climate,Mountainous minus Flat,-1.39884422768057,-6.084064089425009,3.435476888892283
absolute_lst,Surface,Mountainous minus Flat,-5.836560180312922,-9.297062341101045,-2.4342543671314543
absolute_lst,Urban2D,Mountainous minus Flat,-5.426155710623977,-9.555569525578608,-0.8058466555184653
absolute_lst,Urban3D,Mountainous minus Flat,-1.7080205500857928,-2.439187105905571,-0.8661815365846682
absolute_lst,Topography,Mountainous minus Flat,14.369580668703268,6.649373419843362,22.740984408954624
elevation_matched_suhi,Climate,Mountainous minus Flat,19.085900493202516,12.42387115826034,24.410954549660225
elevation_matched_suhi,Surface,Mountainous minus Flat,-12.676873075586759,-16.963735827505133,-7.839528897140847
elevation_matched_suhi,Urban2D,Mountainous minus Flat,-11.414882909071775,-15.348922964475209,-6.598916717999576
elevation_matched_suhi,Urban3D,Mountainous minus Flat,-3.0433028387289207,-3.918738894401557,-1.949644518630509
elevation_matched_suhi,Topography,Mountainous minus Flat,8.049158330184955,3.6502058814925413,11.961508329470277
strict_suhi,Climate,Mountainous minus Flat,10.482243918776682,5.227955082801441,14.454614457518305
strict_suhi,Surface,Mountainous minus Flat,-9.022787344476576,-13.107327840111166,-4.736919827035051
strict_suhi,Urban2D,Mountainous minus Flat,-9.813490213509006,-13.404719932379862,-5.335096618910231
strict_suhi,Urban3D,Mountainous minus Flat,-2.3332864019936164,-3.140242183497286,-1.3004172294526088
strict_suhi,Topography,Mountainous minus Flat,10.687320041202506,6.15070817788432,15.46571694844191
