city,stratum,n_cells,pearson_dem_lst
Jingzhou,Flat,31201,0.1277880368814492
Jiujiang,Flat,35543,-0.43509610351153105
Nanchang,Flat,54252,-0.40742776344289894
Qianjiang,Flat,20115,0.43496817526837567
Tianmen,Flat,24372,-0.04215917272299605
Wuhan,Flat,71630,0.2501169483734573
Xiantao,Flat,25175,0.3493823860864424
Yueyang,Flat,30756,0.1750963202763055
Changde,Transitional,27968,-0.09678377949122341
Changsha,Transitional,52928,-0.2751505125157707
Ezhou,Transitional,11801,0.04431992308316219
Hengyang,Transitional,30911,-0.3927948405406414
Jingmen,Transitional,28214,-0.3612788778920755
Loudi,Transitional,23249,-0.4845791237506986
Xiangtan,Transitional,22728,-0.18026042256418892
Xiangyang,Transitional,36710,-0.19239553759521008
Xiaogan,Transitional,25920,0.16519618546119103
Xinyu,Transitional,28076,-0.3612536659993523
Yiyang,Transitional,29532,-0.3619887932360658
Zhuzhou,Transitional,28020,-0.4015033293946609
Chenzhou,Hilly,25209,-0.6593706663080913
Fuzhou,Hilly,29295,-0.27970909900392826
Ganzhou,Hilly,44971,-0.6709260942419405
Huanggang,Hilly,16789,0.19441625035177681
Ji'an,Hilly,38585,-0.49796361214566887
Jingdezhen,Hilly,28625,-0.5098651685010169
Pingxiang,Hilly,38358,-0.7326553948483208
Shangrao,Hilly,50088,-0.563618943245999
Shaoyang,Hilly,31115,-0.5830124990064857
Suizhou,Hilly,28646,-0.303957922698879
Xianning,Hilly,28133,-0.38337461931642386
Yichun,Hilly,26963,-0.581750479820469
Yingtan,Hilly,31711,-0.32418473706199086
Yongzhou,Hilly,21925,-0.2120842302497394
Enshi,Mountainous,19834,-0.5833233363080264
Huaihua,Mountainous,21668,-0.6374528088533442
Huangshi,Mountainous,37837,-0.3737501075806855
Shiyan,Mountainous,36581,-0.6283322770962911
Xiangxi,Mountainous,22325,-0.4318051567639107
Yichang,Mountainous,33701,-0.6202174727598877
Zhangjiajie,Mountainous,20940,-0.7767150619394352
